tissue_track,rho,diff_vs_kidney,lo,hi,excludes_zero
Pituitary,0.5659663477806146,0.06081397930067295,-0.035593033519854884,0.19428872593457827,False
Thyroid,0.5487403488264789,0.043347464667976954,-0.028650570442141806,0.15771080650780198,False
Cervix_Endocervix,0.5405579993232643,0.03544790224470776,-0.06380412089666142,0.1709269749399667,False
Nerve_Tibial,0.5387123565781784,0.03336749284190874,-0.062234577972443805,0.1647533251570143,False
Fallopian_Tube,0.5115198868005782,0.007063889209255156,-0.10288530143317931,0.13941582918432982,False
Ovary,0.5017379802516226,-0.002300159942003282,-0.1178048135759151,0.13823647171147851,False
Lung,0.49743148051308866,-0.006702401520864385,-0.1278729291893293,0.1273179160246693,False
Breast_Mammary_Tissue,0.49392475929742535,-0.011019951149196103,-0.08238069376963185,0.05721561969230348,False
Pancreas,0.49410932357193393,-0.011081079571862142,-0.043882138186655095,0.019828364623339687,False
Brain_Spinal_cord_cervical_c-1,0.4814359100556769,-0.023130547273365706,-0.18374345549738222,0.13411489139587288,False
Brain_Substantia_nigra,0.4800209172844443,-0.02468304255793108,-0.1822076570200838,0.12874629630644646,False
Adrenal_Gland,0.4795287458857548,-0.024938971375558804,-0.08482651991882618,0.01872921287133744,False
Cervix_Ectocervix,0.4787904887877204,-0.02537527910551551,-0.17679983258751544,0.13479499800346598,False
Kidney_Medulla,0.47799071026484974,-0.02676188774046816,-0.0741641295634241,0.004127054785075332,False
Uterus,0.47073118213417825,-0.03293652275484439,-0.1681936067008301,0.11961526869932011,False
Colon_Sigmoid,0.46919314651327326,-0.034670064578467996,-0.16508469842784984,0.10038537522769098,False
Brain_Putamen_basal_ganglia,0.46291796117998096,-0.04151018672079708,-0.18480247204378192,0.0874320801268437,False
Brain_Caudate_basal_ganglia,0.4583653757421023,-0.04591793881212648,-0.2167761630648781,0.11975003110309379,False
Prostate,0.45196714755913747,-0.052050980527362935,-0.15633982240787805,0.03125166058481922,False
Brain_Amygdala,0.4493217262911809,-0.054488046622399554,-0.2381281628018662,0.12231351771694836,False
Brain_Hippocampus,0.4459995693500262,-0.05815552362625764,-0.24715648969166926,0.12196158686591041,False
Artery_Aorta,0.44353871235657827,-0.05987706023801603,-0.208607821544468,0.09544436111122805,False
Artery_Coronary,0.44267741240887143,-0.060559237535070996,-0.19822323843814427,0.08393249161786251,False
Vagina,0.44292349810821624,-0.061637410849569106,-0.20549342365277792,0.05390373382633729,False
Brain_Hypothalamus,0.4420621981605094,-0.061939062187165515,-0.2574704741674309,0.12221677909105483,False
Muscle_Skeletal,0.44200067673567317,-0.06276278742519159,-0.16872527795483305,0.019777565120478093,False
Adipose_Subcutaneous,0.43363376295795014,-0.06990809853182492,-0.16069395229646372,-0.0006759471190438572,True
Brain_Nucleus_accumbens_basal_ganglia,0.4301270417422868,-0.07370948391195249,-0.2631438327159073,0.10717384614523517,False
Heart_Atrial_Appendage,0.4284044418468732,-0.07482849920124486,-0.17921727595106993,0.008378973865948047,False
Liver,0.42692792765080445,-0.07730421068446044,-0.2186847109428669,0.04896688346053741,False
Colon_Transverse,0.4258820634285891,-0.07912343477948411,-0.241503081636998,0.06633098192651472,False
Artery_Tibial,0.4220677350887447,-0.08062134810054593,-0.2383451841875201,0.07051145942113585,False
Adipose_Visceral_Omentum,0.42028361376849493,-0.08307954420000917,-0.18003329009219085,-0.00991017721121577,True
Small_Intestine_Terminal_Ileum,0.4188070995724261,-0.08616423721354108,-0.2435732912790167,0.04855696983835234,False
Heart_Left_Ventricle,0.41573102833061615,-0.08765730816101514,-0.19975462883061815,-0.0004880171270947258,True
Brain_Cortex,0.41111692146790124,-0.09256386590339434,-0.2889672541121548,0.09036383046002351,False
Cells_EBV-transformed_lymphocytes,0.411055400043065,-0.09284652531558667,-0.19094871682400166,-0.013135316024285642,True
Brain_Anterior_cingulate_cortex_BA24,0.40988649297117724,-0.09365032116073392,-0.292790081782793,0.09497085621513036,False
Stomach,0.4041650004614107,-0.09897864530272366,-0.2170707002865045,-0.009424314210734258,True
Esophagus_Gastroesophageal_Junction,0.3992432864745148,-0.1037329816318964,-0.2279713754201876,-0.004430664729851152,True
Spleen,0.398689593650989,-0.10450519031870431,-0.2687277980631971,0.030845928142305763,False
Bladder,0.3878003014549817,-0.11510611807782102,-0.25027739223679274,-0.010468422924844761,True
Esophagus_Muscularis,0.38681595865760254,-0.11624712689029995,-0.2390121038433499,-0.020950473890154527,True
Testis,0.3831246731674306,-0.1208754325424336,-0.3167704972603204,0.06892118449039308,False
Brain_Frontal_Cortex_BA9,0.3762957950106125,-0.12684288835987814,-0.3298198179442686,0.061640493268188365,False
Brain_Cerebellum,0.3744501522655265,-0.12883367439413052,-0.3406702484304067,0.07122175560873455,False
Brain_Cerebellar_Hemisphere,0.37401950229167313,-0.12948426620774572,-0.34541632970408587,0.0767961232283074,False
Cells_Cultured_fibroblasts,0.37285059521978536,-0.1301907332526944,-0.28886403517534776,-0.01102242617087824,True
Minor_Salivary_Gland,0.3650988956904242,-0.1372145655588871,-0.31630267744825696,0.005176394532692886,False
Whole_Blood,0.3364914331415916,-0.16473962953974874,-0.38989107934710265,0.027839151478837962,False
Skin_Sun_Exposed_Lower_leg,0.3346457903965056,-0.16760440628015114,-0.38347256063865337,0.014599013574721254,False
Esophagus_Mucosa,0.3209880340828694,-0.18108626246991652,-0.3827918692215577,-0.008563549323656938,True
Skin_Not_Sun_Exposed_Suprapubic,0.32024977698483503,-0.18152351500602837,-0.40441695385789034,0.00726404177282255,False
